===== MAG =====
Time (UTC), geodetic latitude (degrees), geodetic longitude (degrees), alt (km above WGS-84 ellipsoid), magnetic declination (degrees), inclination (degrees), total intensity (nT), horizontal (nT), north (nT), east (nT), vertical (nT), magnetic latitude (degrees), magnetic longitude (degrees), magnetic local time (hours)
2019-04-05 22:53:27,  53.63,   -65.24,    521.54, -17.87,    73.79, 43138.0, 12042.4, 11461.4, -3695.3, 41423.1,  61.82,    16.67, 19.18
2019-04-05 22:53:51,  55.13,   -64.96,    521.95, -18.52,    74.70, 43428.7, 11458.3, 10865.0, -3639.4, 41889.8,  63.19,    17.24, 19.23
2019-04-05 22:54:15,  56.63,   -64.64,    522.36, -19.22,    75.58, 43684.8, 10877.8, 10271.3, -3581.4, 42308.8,  64.57,    17.86, 19.28
2019-04-05 22:54:39,  58.12,   -64.30,    522.75, -19.98,    76.43, 43906.9, 10304.0,  9683.7, -3521.2, 42680.7,  65.93,    18.57, 19.33
2019-04-05 22:55:03,  59.62,   -63.91,    523.13, -20.80,    77.24, 44096.3,  9740.5,  9105.7, -3458.8, 43007.0,  67.29,    19.36, 19.39
2019-04-05 22:55:27,  61.11,   -63.47,    523.49, -21.67,    78.01, 44254.3,  9190.2,  8540.4, -3394.2, 43289.5,  68.63,    20.26, 19.45
2019-04-05 22:55:51,  62.59,   -62.99,    523.84, -22.61,    78.75, 44382.8,  8656.2,  7991.1, -3327.5, 43530.5,  69.96,    21.28, 19.53
2019-04-05 22:56:15,  64.08,   -62.44,    524.18, -23.59,    79.45, 44484.2,  8141.4,  7461.0, -3258.3, 43732.9,  71.28,    22.46, 19.61
2019-04-05 22:56:39,  65.56,   -61.82,    524.50, -24.62,    80.12, 44561.2,  7648.3,  6952.7, -3186.8, 43899.9,  72.59,    23.83, 19.71
2019-04-05 22:57:03,  67.04,   -61.12,    524.79, -25.69,    80.74, 44616.7,  7178.8,  6469.0, -3112.5, 44035.3,  73.87,    25.42, 19.82
2019-04-05 22:57:27,  68.51,   -60.30,    525.07, -26.79,    81.33, 44654.0,  6734.8,  6012.1, -3035.2, 44143.2,  75.13,    27.30, 19.96
2019-04-05 22:57:51,  69.97,   -59.37,    525.33, -27.88,    81.87, 44676.7,  6317.5,  5584.1, -2954.3, 44227.8,  76.37,    29.54, 20.11
2019-04-05 22:58:15,  71.43,   -58.27,    525.57, -28.95,    82.38, 44688.6,  5927.5,  5186.8, -2869.2, 44293.8,  77.57,    32.23, 20.30
2019-04-05 22:58:39,  72.88,   -56.99,    525.79, -29.96,    82.85, 44693.4,  5565.0,  4821.6, -2778.8, 44345.6,  78.73,    35.50, 20.52
2019-04-05 22:59:03,  74.32,   -55.45,    525.99, -30.85,    83.28, 44695.0,  5229.9,  4490.0, -2681.6, 44388.0,  79.84,    39.52, 20.80
2019-04-05 22:59:27,  75.74,   -53.60,    526.16, -31.56,    83.68, 44697.1,  4921.3,  4193.6, -2575.4, 44425.3,  80.88,    44.51, 21.14
2019-04-05 22:59:51,  77.15,   -51.32,    526.31, -31.99,    84.04, 44703.2,  4638.2,  3934.0, -2457.1, 44461.9,  81.82,    50.72, 21.56
2019-04-05 23:00:15,  78.53,   -48.48,    526.43, -32.01,    84.38, 44716.7,  4379.5,  3713.6, -2321.4, 44501.7,  82.64,    58.45, 22.08
2019-04-05 23:00:39,  79.87,   -44.86,    526.53, -31.43,    84.69, 44740.5,  4143.6,  3535.6, -2160.7, 44548.2,  83.29,    67.89, 22.72
2019-04-05 23:01:03,  81.15,   -40.15,    526.61, -29.96,    84.97, 44777.2,  3929.3,  3404.2, -1962.3, 44604.4,  83.72,    78.96, 23.46
2019-04-05 23:01:27,  82.36,   -33.89,    526.66, -27.17,    85.22, 44828.8,  3735.6,  3323.3, -1705.9, 44672.9,  83.87,    91.10,  0.28
2019-04-05 23:01:51,  83.43,   -25.41,    526.68, -22.46,    85.45, 44896.8,  3562.0,  3291.8, -1360.7, 44755.3,  83.74,   103.30,  1.10
2019-04-05 23:02:15,  84.31,   -13.96,    526.68, -15.12,    85.65, 44982.3,  3408.7,  3290.7,  -888.9, 44853.0,  83.35,   114.51,  1.85
2019-04-05 23:02:39,  84.89,     0.82,    526.65,  -4.83,    85.83, 45085.6,  3277.0,  3265.3,  -276.1, 44966.4,  82.72,   124.12,  2.50
2019-04-05 23:03:03,  85.05,    17.90,    526.60,   7.29,    85.98, 45206.5,  3169.3,  3143.7,   402.3, 45095.2,  81.92,   132.02,  3.03
2019-04-05 23:03:27,  84.77,    34.59,    526.52,  18.55,    86.09, 45344.1,  3089.4,  2928.9,   982.7, 45238.7,  80.99,   138.39,  3.46
2019-04-05 23:03:51,  84.11,    48.52,    526.42,  26.57,    86.17, 45497.1,  3042.5,  2721.2,  1360.8, 45395.3,  79.97,   143.52,  3.81
2019-04-05 23:04:15,  83.17,    59.12,    526.29,  30.84,    86.19, 45663.7,  3034.6,  2605.7,  1555.5, 45562.7,  78.88,   147.68,  4.09
2019-04-05 23:04:39,  82.05,    66.95,    526.13,  32.03,    86.16, 45841.4,  3072.6,  2605.0,  1629.4, 45738.3,  77.73,   151.07,  4.33
2019-04-05 23:05:03,  80.82,    72.75,    525.95,  31.08,    86.06, 46027.7,  3162.7,  2708.8,  1632.5, 45918.9,  76.55,   153.88,  4.52
2019-04-05 23:05:27,  79.52,    77.14,    525.75,  28.80,    85.89, 46219.3,  3309.7,  2900.2,  1594.7, 46100.6,  75.33,   156.22,  4.68
2019-04-05 23:05:51,  78.17,    80.52,    525.52,  25.84,    85.65, 46412.9,  3516.9,  3165.3,  1532.7, 46279.5,  74.08,   158.21,  4.82
2019-04-05 23:06:15,  76.78,    83.20,    525.27,  22.62,    85.34, 46605.0,  3785.2,  3493.9,  1456.1, 46451.1,  72.81,   159.90,  4.94
2019-04-05 23:06:39,  75.37,    85.35,    524.99,  19.46,    84.96, 46791.9,  4113.7,  3878.8,  1370.3, 46610.7,  71.53,   161.36,  5.05
2019-04-05 23:07:03,  73.94,    87.11,    524.69,  16.51,    84.50, 46969.7,  4500.4,  4314.9,  1278.7, 46753.6,  70.22,   162.63,  5.14
2019-04-05 23:07:27,  72.50,    88.58,    524.37,  13.86,    83.98, 47134.8,  4942.4,  4798.6,  1183.6, 46875.0,  68.90,   163.73,  5.22
2019-04-05 23:07:51,  71.05,    89.81,    524.03,  11.53,    83.40, 47283.4,  5436.3,  5326.6,  1086.6, 46969.8,  67.56,   164.71,  5.29
2019-04-05 23:08:15,  69.59,    90.86,    523.67,   9.52,    82.76, 47411.9,  5978.7,  5896.4,   988.7, 47033.4,  66.22,   165.56,  5.35
2019-04-05 23:08:39,  68.12,    91.76,    523.29,   7.80,    82.06, 47516.9,  6566.2,  6505.5,   891.0, 47061.1,  64.86,   166.32,  5.41
2019-04-05 23:09:03,  66.64,    92.54,    522.89,   6.34,    81.30, 47595.3,  7195.3,  7151.3,   794.2, 47048.3,  63.48,   167.00,  5.46
2019-04-05 23:09:27,  65.16,    93.23,    522.47,   5.10,    80.50, 47644.0,  7862.5,  7831.4,   699.0, 46990.8,  62.10,   167.60,  5.51
2019-04-05 23:09:51,  63.68,    93.83,    522.04,   4.06,    79.65, 47660.6,  8564.6,  8543.1,   605.8, 46884.7,  60.71,   168.14,  5.55
2019-04-05 23:10:15,  62.20,    94.36,    521.59,   3.18,    78.75, 47642.5,  9298.0,  9283.7,   515.3, 46726.4,  59.31,   168.62,  5.59
