===== MAG =====
Time (UTC), geodetic latitude (degrees), geodetic longitude (degrees), alt (km above WGS-84 ellipsoid), magnetic declination (degrees), inclination (degrees), total intensity (nT), horizontal (nT), north (nT), east (nT), vertical (nT), magnetic latitude (degrees), magnetic longitude (degrees), magnetic local time (hours)
2019-02-27 02:39:30,  60.69,   -57.38,    504.96, -21.80,    76.89, 44057.0,  9996.4,  9281.8, -3711.7, 42907.9,  67.30,    27.83, 23.41
2019-02-27 02:39:54,  62.18,   -56.90,    505.36, -22.59,    77.68, 44222.8,  9439.3,  8715.0, -3626.3, 43203.7,  68.67,    28.86, 23.49
2019-02-27 02:40:18,  63.67,   -56.37,    505.75, -23.42,    78.43, 44360.4,  8899.0,  8165.7, -3537.5, 43458.6,  70.02,    30.03, 23.58
2019-02-27 02:40:42,  65.16,   -55.77,    506.14, -24.28,    79.14, 44472.2,  8378.1,  7637.0, -3445.3, 43675.9,  71.35,    31.38, 23.67
2019-02-27 02:41:06,  66.65,   -55.08,    506.52, -25.16,    79.82, 44561.3,  7878.8,  7131.5, -3349.2, 43859.2,  72.67,    32.95, 23.78
2019-02-27 02:41:30,  68.13,   -54.30,    506.90, -26.03,    80.45, 44630.8,  7402.7,  6651.7, -3248.7, 44012.6,  73.96,    34.78, 23.91
2019-02-27 02:41:54,  69.61,   -53.39,    507.27, -26.89,    81.05, 44684.2,  6951.2,  6199.8, -3143.5, 44140.2,  75.22,    36.95,  0.06
2019-02-27 02:42:18,  71.08,   -52.33,    507.63, -27.69,    81.61, 44725.3,  6525.0,  5777.5, -3032.5, 44246.8,  76.45,    39.52,  0.24
2019-02-27 02:42:42,  72.54,   -51.09,    507.99, -28.42,    82.14, 44758.0,  6124.4,  5386.3, -2914.8, 44337.0,  77.64,    42.61,  0.46
2019-02-27 02:43:06,  73.98,   -49.61,    508.33, -29.02,    82.62, 44786.1,  5749.2,  5027.5, -2788.8, 44415.6,  78.78,    46.35,  0.71
2019-02-27 02:43:30,  75.42,   -47.83,    508.67, -29.42,    83.08, 44813.5,  5398.6,  4702.2, -2652.2, 44487.1,  79.85,    50.92,  1.02
2019-02-27 02:43:54,  76.84,   -45.65,    508.99, -29.56,    83.51, 44843.8,  5071.5,  4411.5, -2501.8, 44556.1,  80.83,    56.53,  1.40
2019-02-27 02:44:18,  78.23,   -42.94,    509.30, -29.30,    83.90, 44880.5,  4766.8,  4156.9, -2332.8, 44626.7,  81.70,    63.40,  1.87
2019-02-27 02:44:42,  79.58,   -39.50,    509.60, -28.48,    84.27, 44926.6,  4482.8,  3940.2, -2137.7, 44702.4,  82.41,    71.72,  2.43
2019-02-27 02:45:06,  80.89,   -35.03,    509.88, -26.84,    84.62, 44984.8,  4218.1,  3763.6, -1904.7, 44786.6,  82.93,    81.51,  3.09
2019-02-27 02:45:30,  82.12,   -29.11,    510.15, -24.00,    84.94, 45057.1,  3971.8,  3628.2, -1615.8, 44881.7,  83.21,    92.47,  3.83
2019-02-27 02:45:54,  83.23,   -21.10,    510.41, -19.41,    85.24, 45145.2,  3743.0,  3530.3, -1243.8, 44989.8,  83.22,   103.90,  4.60
2019-02-27 02:46:18,  84.16,   -10.25,    510.66, -12.37,    85.52, 45250.1,  3532.0,  3450.0,  -756.7, 45112.0,  82.97,   114.93,  5.34
2019-02-27 02:46:42,  84.81,     3.99,    510.89,  -2.46,    85.78, 45371.9,  3340.3,  3337.2,  -143.6, 45248.8,  82.47,   124.85,  6.01
2019-02-27 02:47:06,  85.06,    20.89,    511.10,   9.50,    86.00, 45510.5,  3170.7,  3127.3,   523.3, 45399.9,  81.78,   133.31,  6.58
2019-02-27 02:47:30,  84.86,    37.95,    511.30,  20.92,    86.20, 45664.8,  3028.4,  2828.7,  1081.5, 45564.3,  80.93,   140.32,  7.05
2019-02-27 02:47:54,  84.25,    52.55,    511.48,  29.11,    86.35, 45833.5,  2920.4,  2551.6,  1420.7, 45740.4,  79.96,   146.07,  7.44
