===== MAG =====
Time (UTC), geodetic latitude (degrees), geodetic longitude (degrees), alt (km above WGS-84 ellipsoid), magnetic declination (degrees), inclination (degrees), total intensity (nT), horizontal (nT), north (nT), east (nT), vertical (nT), magnetic latitude (degrees), magnetic longitude (degrees), magnetic local time (hours)
2019-04-23 20:32:00,  56.36,   -58.62,    519.27, -19.64,    74.41, 43115.7, 11584.3, 10910.4, -3893.6, 41530.3,  63.33,    25.30, 17.58
2019-04-23 20:32:12,  57.11,   -58.45,    519.33, -19.97,    74.86, 43250.6, 11293.5, 10614.7, -3856.4, 41750.0,  64.03,    25.65, 17.61
2019-04-23 20:32:24,  57.86,   -58.27,    519.39, -20.30,    75.30, 43377.2, 11004.2, 10320.5, -3818.4, 41958.1,  64.72,    26.02, 17.63
2019-04-23 20:32:36,  58.60,   -58.09,    519.44, -20.65,    75.74, 43495.7, 10716.9, 10028.1, -3779.9, 42154.7,  65.42,    26.41, 17.66
2019-04-23 20:32:48,  59.35,   -57.89,    519.50, -21.01,    76.16, 43606.2, 10431.8,  9738.1, -3740.6, 42340.1,  66.11,    26.82, 17.69
2019-04-23 20:33:00,  60.10,   -57.69,    519.54, -21.38,    76.57, 43709.0, 10149.4,  9450.8, -3700.6, 42514.3,  66.80,    27.26, 17.73
2019-04-23 20:33:12,  60.84,   -57.47,    519.59, -21.76,    76.98, 43804.1,  9870.2,  9166.6, -3659.9, 42677.7,  67.48,    27.73, 17.76
2019-04-23 20:33:24,  61.59,   -57.24,    519.63, -22.16,    77.37, 43891.9,  9594.4,  8885.9, -3618.4, 42830.5,  68.16,    28.23, 17.80
2019-04-23 20:33:36,  62.33,   -56.99,    519.67, -22.56,    77.76, 43972.6,  9322.4,  8609.2, -3576.1, 42973.1,  68.84,    28.77, 17.84
2019-04-23 20:33:48,  63.08,   -56.73,    519.71, -22.97,    78.14, 44046.4,  9054.5,  8336.7, -3533.1, 43105.7,  69.51,    29.34, 17.88
2019-04-23 20:34:00,  63.82,   -56.45,    519.74, -23.38,    78.51, 44113.7,  8791.1,  8069.0, -3489.1, 43228.9,  70.18,    29.95, 17.92
2019-04-23 20:34:12,  64.56,   -56.16,    519.77, -23.81,    78.86, 44174.8,  8532.4,  7806.3, -3444.4, 43342.9,  70.85,    30.61, 17.97
2019-04-23 20:34:24,  65.30,   -55.85,    519.79, -24.24,    79.21, 44229.9,  8278.8,  7549.0, -3398.7, 43448.2,  71.51,    31.31, 18.02
2019-04-23 20:34:36,  66.04,   -55.51,    519.82, -24.67,    79.55, 44279.6,  8030.5,  7297.4, -3352.1, 43545.3,  72.16,    32.07, 18.07
2019-04-23 20:34:48,  66.78,   -55.15,    519.83, -25.11,    79.88, 44324.1,  7787.6,  7051.8, -3304.4, 43634.6,  72.81,    32.89, 18.13
2019-04-23 20:35:00,  67.52,   -54.77,    519.85, -25.54,    80.20, 44363.9,  7550.5,  6812.5, -3255.8, 43716.7,  73.46,    33.78, 18.19
2019-04-23 20:35:12,  68.26,   -54.36,    519.86, -25.98,    80.51, 44399.5,  7319.3,  6579.8, -3205.9, 43792.0,  74.10,    34.74, 18.26
2019-04-23 20:35:24,  68.99,   -53.92,    519.86, -26.41,    80.81, 44431.1,  7094.1,  6353.9, -3154.9, 43861.1,  74.73,    35.79, 18.34
2019-04-23 20:35:36,  69.73,   -53.45,    519.87, -26.83,    81.10, 44459.4,  6875.0,  6135.1, -3102.6, 43924.6,  75.35,    36.93, 18.41
2019-04-23 20:35:48,  70.46,   -52.93,    519.86, -27.24,    81.39, 44484.7,  6662.1,  5923.5, -3048.9, 43983.0,  75.96,    38.17, 18.50
2019-04-23 20:36:00,  71.19,   -52.38,    519.86, -27.63,    81.66, 44507.5,  6455.5,  5719.4, -2993.6, 44036.8,  76.57,    39.52, 18.59
2019-04-23 20:36:12,  71.92,   -51.78,    519.84, -28.00,    81.92, 44528.3,  6255.1,  5522.9, -2936.7, 44086.8,  77.17,    41.01, 18.70
2019-04-23 20:36:24,  72.64,   -51.12,    519.83, -28.35,    82.18, 44547.6,  6061.1,  5334.2, -2877.9, 44133.3,  77.75,    42.65, 18.81
2019-04-23 20:36:36,  73.37,   -50.41,    519.81, -28.66,    82.43, 44565.8,  5873.2,  5153.5, -2817.1, 44177.1,  78.32,    44.44, 18.93
2019-04-23 20:36:48,  74.09,   -49.63,    519.78, -28.94,    82.67, 44583.4,  5691.4,  4980.8, -2753.9, 44218.6,  78.88,    46.43, 19.07
2019-04-23 20:37:00,  74.80,   -48.77,    519.75, -29.17,    82.90, 44600.9,  5515.8,  4816.4, -2688.1, 44258.5,  79.42,    48.62, 19.22
2019-04-23 20:37:12,  75.51,   -47.83,    519.72, -29.34,    83.12, 44618.7,  5346.0,  4660.4, -2619.2, 44297.3,  79.94,    51.05, 19.38
2019-04-23 20:37:24,  76.22,   -46.78,    519.68, -29.44,    83.33, 44637.3,  5182.0,  4512.9, -2547.0, 44335.5,  80.44,    53.74, 19.56
2019-04-23 20:37:36,  76.92,   -45.62,    519.64, -29.46,    83.54, 44657.1,  5023.7,  4374.1, -2470.7, 44373.6,  80.91,    56.72, 19.77
2019-04-23 20:37:48,  77.62,   -44.33,    519.59, -29.38,    83.74, 44678.5,  4870.9,  4244.3, -2389.8, 44412.2,  81.35,    60.01, 19.99
2019-04-23 20:38:00,  78.31,   -42.88,    519.54, -29.19,    83.93, 44701.9,  4723.3,  4123.6, -2303.4, 44451.6,  81.77,    63.66, 20.24
2019-04-23 20:38:12,  78.99,   -41.24,    519.48, -28.85,    84.12, 44727.6,  4580.8,  4012.3, -2210.4, 44492.4,  82.14,    67.67, 20.51
2019-04-23 20:38:24,  79.66,   -39.39,    519.41, -28.35,    84.30, 44756.0,  4443.4,  3910.6, -2109.6, 44534.9,  82.47,    72.05, 20.80
2019-04-23 20:38:36,  80.31,   -37.28,    519.35, -27.63,    84.48, 44787.5,  4310.6,  3818.9, -1999.4, 44579.6,  82.75,    76.81, 21.12
2019-04-23 20:38:48,  80.96,   -34.87,    519.27, -26.67,    84.65, 44822.2,  4182.6,  3737.4, -1877.6, 44626.6,  82.97,    81.91, 21.47
2019-04-23 20:39:00,  81.58,   -32.09,    519.19, -25.41,    84.81, 44860.5,  4059.0,  3666.3, -1741.9, 44676.5,  83.14,    87.31, 21.83
2019-04-23 20:39:12,  82.18,   -28.86,    519.11, -23.79,    84.97, 44902.5,  3939.9,  3605.2, -1589.0, 44729.3,  83.24,    92.91, 22.21
2019-04-23 20:39:24,  82.75,   -25.12,    519.02, -21.71,    85.12, 44948.4,  3825.1,  3553.7, -1415.2, 44785.3,  83.27,    98.63, 22.59
2019-04-23 20:39:36,  83.28,   -20.75,    518.93, -19.12,    85.26, 44998.3,  3714.7,  3509.9, -1216.5, 44844.7,  83.24,   104.34, 22.97
2019-04-23 20:39:48,  83.77,   -15.66,    518.83, -15.90,    85.41, 45052.4,  3608.8,  3470.8,  -988.5, 44907.7,  83.13,   109.94, 23.35
2019-04-23 20:40:00,  84.20,    -9.76,    518.72, -11.98,    85.54, 45110.8,  3507.5,  3431.0,  -728.3, 44974.2,  82.97,   115.32, 23.71
2019-04-23 20:40:12,  84.55,    -3.01,    518.62,  -7.34,    85.67, 45173.3,  3410.9,  3383.0,  -435.7, 45044.4,  82.74,   120.41,  0.06
2019-04-23 20:40:24,  84.82,     4.58,    518.50,  -2.00,    85.79, 45240.1,  3319.5,  3317.5,  -116.0, 45118.1,  82.46,   125.15,  0.38
2019-04-23 20:40:36,  85.00,    12.85,    518.38,   3.86,    85.91, 45311.0,  3233.6,  3226.3,   217.5, 45195.5,  82.13,   129.53,  0.67
2019-04-23 20:40:48,  85.06,    21.50,    518.26,   9.94,    86.02, 45386.1,  3153.9,  3106.5,   544.6, 45276.3,  81.76,   133.54,  0.94
2019-04-23 20:41:00,  85.00,    30.16,    518.13,  15.86,    86.11, 45465.0,  3081.0,  2963.7,   842.1, 45360.5,  81.35,   137.18,  1.19
2019-04-23 20:41:12,  84.83,    38.45,    517.99,  21.22,    86.20, 45547.8,  3015.7,  2811.2,  1091.7, 45447.8,  80.90,   140.48,  1.41
2019-04-23 20:41:24,  84.57,    46.08,    517.85,  25.73,    86.28, 45634.1,  2959.0,  2665.7,  1284.5, 45538.0,  80.43,   143.46,  1.61
2019-04-23 20:41:36,  84.21,    52.88,    517.71,  29.22,    86.35, 45723.7,  2912.1,  2541.6,  1421.5, 45630.9,  79.93,   146.16,  1.80
2019-04-23 20:41:48,  83.79,    58.82,    517.56,  31.66,    86.40, 45816.5,  2876.0,  2447.9,  1509.7, 45726.1,  79.42,   148.60,  1.96
2019-04-23 20:42:00,  83.30,    63.94,    517.41,  33.13,    86.44, 45912.0,  2852.1,  2388.5,  1558.6, 45823.3,  78.88,   150.82,  2.11
2019-04-23 20:42:12,  82.77,    68.34,    517.25,  33.71,    86.46, 46010.0,  2841.6,  2363.7,  1577.2, 45922.1,  78.33,   152.82,  2.25
2019-04-23 20:42:24,  82.20,    72.12,    517.08,  33.56,    86.46, 46110.1,  2845.9,  2371.5,  1573.1, 46022.2,  77.76,   154.65,  2.38
2019-04-23 20:42:36,  81.61,    75.36,    516.92,  32.79,    86.44, 46211.9,  2866.0,  2409.2,  1552.3, 46122.9,  77.18,   156.31,  2.49
2019-04-23 20:42:48,  80.98,    78.16,    516.74,  31.55,    86.41, 46315.1,  2903.1,  2473.9,  1519.1, 46224.0,  76.59,   157.83,  2.59
2019-04-23 20:43:00,  80.34,    80.59,    516.56,  29.95,    86.35, 46419.2,  2957.9,  2562.9,  1476.8, 46324.9,  75.99,   159.22,  2.69
2019-04-23 20:43:12,  79.69,    82.72,    516.38,  28.10,    86.26, 46523.8,  3031.0,  2673.7,  1427.8, 46425.0,  75.38,   160.50,  2.78
2019-04-23 20:43:24,  79.02,    84.58,    516.19,  26.10,    86.16, 46628.5,  3122.7,  2804.4,  1373.7, 46523.8,  74.77,   161.67,  2.86
2019-04-23 20:43:36,  78.34,    86.22,    516.00,  24.01,    86.03, 46732.8,  3233.1,  2953.3,  1315.8, 46620.8,  74.14,   162.75,  2.94
2019-04-23 20:43:48,  77.65,    87.68,    515.81,  21.92,    85.88, 46836.2,  3362.0,  3119.0,  1255.0, 46715.4,  73.51,   163.75,  3.01
2019-04-23 20:44:00,  76.95,    88.98,    515.61,  19.86,    85.71, 46938.3,  3509.0,  3300.3,  1192.2, 46806.9,  72.87,   164.68,  3.07
2019-04-23 20:44:12,  76.25,    90.15,    515.40,  17.88,    85.52, 47038.6,  3673.7,  3496.3,  1127.8, 46894.9,  72.23,   165.54,  3.13
2019-04-23 20:44:24,  75.54,    91.20,    515.20,  15.99,    85.31, 47136.6,  3855.4,  3706.2,  1062.2, 46978.6,  71.58,   166.34,  3.19
2019-04-23 20:44:36,  74.83,    92.15,    514.98,  14.22,    85.08, 47231.8,  4053.4,  3929.2,   995.8, 47057.6,  70.93,   167.09,  3.24
2019-04-23 20:44:48,  74.11,    93.01,    514.77,  12.57,    84.83, 47323.8,  4267.2,  4164.9,   928.8, 47131.0,  70.27,   167.78,  3.29
